书名,笔记内容
《俞军产品方法论》,"原文：1.1　历史上的产品经理
一个职业能够诞生并留存下来，必然是因为它优化了企业分工，提高了企业收益，产品经理也不例外。
不同时代、不同行业、不同公司的产品经理职能都经历了演变的过程，本节将阐述产品经理变迁历史，以便读者更清楚地了解产品经理这个职业。
1.1.1　消费品时代的产品经理
产品经理这个职业最早起源于宝洁。1926年，宝洁推出了一款叫卡玫尔(Camay)的香皂，跟宝洁公司自家的另一款象牙牌(Ivory)香皂很相似，但销量一直不佳。
象牙皂是宝洁非常成功的一款核心产品，自1879年诞生以来，已经成为被消费者广泛认可的品牌，其市场份额可以占百分之五六十，遥遥领先。"
《俞军产品方法论》,而重视体验最好的方法，就是从产品经理的角度，以用户为中心，横向组织资源，按需求进行生产和销售。
《俞军产品方法论》,一般的职业产品经理，做到试错型判断是最有价值的，因为在此过程中需要反复权衡，决定优先级，判断做哪个不做哪个，先做哪个后做哪个。
《俞军产品方法论》,App时代可能只要会画原型就可以了，把交互做到极致就是很厉害的产品经理；再往后是策略优化、功能演进，然后是负责业务形态和组织关系下的方案梳理。
《俞军产品方法论》,"在互联网时代，产品经理的""销售""和""协调""工作做得平庸一点，不是严重问题。而对""需求""理解的好坏，往往能够决定一个产品的生死，"
《俞军产品方法论》,社会科学与自然科学的最大区别是研究对象不可重复（人类意识复杂多样，决定人类行为的动机和预期有互相博弈性和不确定性，社会永恒变化，正所谓人不能两次踏进同一条河流
《俞军产品方法论》,用户模型是指产品用户和潜在用户的偏好和行为反应模型
《俞军产品方法论》,要以异质性、情境性、可塑性、自利性、有限理性的用户行为为基本单位来研究产品的用户模型，并通过大量真实个体行为样本来进行分析和洞察。
《俞军产品方法论》,用户可能没有付出金钱成本，但是可能付出了时间成本、认知和思考成本等。每个交互和体验细节设计，本质上都是在降低用户的交易成
《俞军产品方法论》,一个好产品要有三个属性：（对用户）有效用，（企业）有收益，可持续。
